club,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Anzhi,16864.43,33826.19,32441.34,1311.73,0.0,0.0,0.0,0.0,0.0,0.0,34776.63,37090.4,39376.28,39697.43,19916.95,17749.7,35616.24,35349.7,34833.9,18186.83,0.0,0.0,0.0,0.0,0.0,0.0
Apollon,1261.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15383.66,17091.08,0.0,0.0,15161.44,30624.49,15614.220000000001,7451.83,29662.88,15372.27,0.0,0.0,0.0
Arezzo,0.0,0.0,0.0,0.0,15551.44,34791.41,36089.46,19243.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arges Pitesti,16448.07,32268.04,31395.85,31368.4,31673.72,32650.54,33701.47,17492.2,15928.11,17363.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14594.220000000001,30413.4,30062.4,15499.17,0.0,0.0
Aris,17329.1,34882.04,34724.13,35280.74,33105.7,32282.95,31980.62,34046.18,36143.64,35214.12,35619.659999999996,35746.91,34911.69,33079.880000000005,16875.65,0.0,0.0,0.0,15818.0,33021.4,33881.91,34199.88,33986.2,33477.83,34846.03,7185.34
Arka,0.0,0.0,0.0,0.0,0.0,13935.28,29946.31,16600.7,14984.86,29870.100000000002,29211.96,15957.630000000001,0.0,0.0,0.0,0.0,15532.43,30640.64,30700.49,30067.78,19827.75,0.0,0.0,0.0,0.0,0.0
Arles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17074.53,35196.67,34701.29,34493.66,34311.32,33775.66,17434.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arouca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16962.27,34193.76,33788.95,35409.35,18679.74,0.0,0.0,0.0,16383.27,33320.62,35249.55,35791.2,7366.95
Arsenal,22433.920000000002,43765.34,44959.03,44897.42,45892.99,45744.85,45245.270000000004,45349.82,46476.81,45401.86,45095.39,44445.72,43745.93,44241.87,44734.03,44363.1,44323.02,44329.87,43927.48,44739.29,43306.38,44209.8,44996.41,46320.64,46780.27,9940.34
Ascoli,0.0,0.0,17114.07,35152.28,35042.7,35863.19,37405.2,36717.15,36732.96,35368.04,35118.12,33852.92,33940.95,17952.03,0.0,16373.039999999999,32704.12,33186.54,32987.92,32622.899999999998,32633.92,33315.12,34516.25,34306.08,18508.01,0.0
Assyriska,0.0,0.0,0.0,0.0,0.0,29900.66,1186.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asteras Tripolis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15532.56,33622.92,33507.65,32950.57,32724.46,34084.36,34914.67,35264.25,35608.02,34275.96,32490.05,33748.94,32669.87,33067.71,33395.79,31829.09,30208.75,30800.75,6621.89
Aston Villa,20778.94,41429.98,40364.16,39805.96,41036.83,40521.45,40412.92,41435.340000000004,43290.5,42315.58,42043.08,41101.22,39846.04,39539.55,39126.91,37817.32,36339.08,35673.1,37389.07,38408.35,39124.51,41665.96,41695.94,43440.68,43386.17,8988.91
Astra,15314.45,30968.27,30832.02,16975.54,0.0,0.0,0.0,0.0,0.0,15742.59,31676.04,33168.01,33222.61,35968.9,37431.33,36498.25,36465.67,35709.33,34756.88,33584.78,33998.35,17558.91,0.0,0.0,0.0,0.0
Atalanta,19700.32,39717.05,39593.090000000004,39761.12,37997.86,38091.06,38729.83,39380.2,39701.5,39340.37,38370.81,37396.33,38148.590000000004,37433.54,37941.97,38046.03,38172.29,40835.5,41554.34,41697.23,43577.6,43934.35,42161.4,42182.92,44483.45,9489.95
Ath Bilbao,21280.88,42309.45,41328.53,42316.05,43102.47,42043.229999999996,41561.28,41681.03,41942.62,41016.7,40653.87,41353.52,42050.61,40654.86,43325.18,42758.61,43697.2,42447.04,41049.06,41460.92,41517.61,41123.34,41626.51,41120.77,42360.86,9015.08
Ath Bilbao B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18264.989999999998,19091.739999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ath Madrid,20233.13,40828.020000000004,40799.23,41478.31,42474.98,41820.69,42682.71,43814.85,44112.72,43570.03,41922.75,41691.16,43952.17,44640.78,47010.19,46823.98,47600.14,46627.65,46367.8,45338.39,45136.42,45441.1,44313.52,44190.18,44124.159999999996,9354.369999999999
Athinaikos,13828.79,16523.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atletico B,1562.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atromitos,0.0,0.0,0.0,0.0,0.0,13914.64,31675.45,33156.17,18111.49,15664.71,32373.690000000002,33476.590000000004,34933.53,35117.34,35855.44,35200.58,34408.1,33475.76,35261.46,34829.69,33669.27,31585.44,30432.61,30233.57,31021.57,6542.63
Atvidaberg,0.0,0.0,0.0,0.0,0.0,0.0,13974.949999999999,1268.62,0.0,0.0,29690.25,1235.36,29866.94,31453.73,31942.89,31475.989999999998,1248.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augsburg,0.0,0.0,0.0,0.0,0.0,0.0,15316.55,34927.97,34441.26,34746.27,37082.94,38630.659999999996,39272.92,39610.2,40783.1,40425.15,39749.95,39566.4,39191.25,38385.93,38942.88,38451.09,38686.49,38421.1,38985.13,8025.6
Austria Kaernten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15672.68,31251.38,31712.7,16239.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria Wien,18427.07,36082.74,36638.5,37198.99,37811.38,39487.97,37586.34,35145.24,34935.1,35551.11,36773.77,36770.54,36262.3,37617.87,37071.37,35739.3,36346.24,37063.65,35733.28,35308.88,35368.33,35325.84,35742.1,34822.8,34697.38,7360.09
Auxerre,19641.82,39663.25,40757.94,40836.13,42437.2,41431.729999999996,40897.45,40073.94,38796.03,39552.3,41450.03,40194.65,37656.59,35696.77,34049.63,34753.16,34355.6,33609.63,33251.57,32976.25,33127.64,34784.38,36126.55,36105.95,37519.95,7985.42
